,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,916.0,1047.0,2020.0,3189.0,3141.0,5283.0,6373.0,7844.0,8458.0,9482.0,9014
Expenses,769.0,870.0,1708.0,2576.0,2534.0,3999.0,4786.0,5991.0,6723.0,6928.0,6674
Operating Profit,147.0,177.0,311.0,613.0,607.0,1284.0,1587.0,1853.0,1735.0,2554.0,2340
OPM %,16.0,17.0,15.0,19.0,19.0,24.0,25.0,24.0,21.0,27.0,26
Other Income,4.0,8.0,9.0,159.0,43.0,43.0,51.0,67.0,65.0,87.0,96
Interest,62.0,88.0,105.0,126.0,66.0,170.0,295.0,362.0,420.0,443.0,520
Depreciation,35.0,44.0,50.0,69.0,83.0,149.0,189.0,227.0,282.0,246.0,242
Profit before tax,55.0,52.0,165.0,577.0,501.0,1008.0,1154.0,1331.0,1099.0,1952.0,1674
Tax %,36.0,40.0,38.0,-2.0,19.0,29.0,31.0,28.0,24.0,26.0,
Net Profit,35.0,31.0,102.0,588.0,406.0,717.0,801.0,955.0,832.0,1454.0,1240
EPS in Rs,13.94,12.16,40.76,118.22,40.82,72.06,80.53,96.01,86.04,150.42,128.28
