,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75
Reserves,410.02,393.46,375.53,336.35,340.76,350.74,355.86,359.02
Borrowings,7.99,51.12,67.8,72.3,104.49,87.35,30.28,8.98
Other Liabilities,268.06,249.7,323.51,311.6,297.69,302.83,44.63,51.39
Total Liabilities,713.82,722.03,794.59,748.0,770.69,768.67,458.52,447.14
Fixed Assets,161.19,153.12,152.38,149.86,148.83,147.66,146.7,146.4
CWIP,5.99,8.96,10.15,10.54,5.82,6.45,6.79,9.67
Investments,10.61,22.98,33.9,42.27,43.45,46.24,0.01,0.0
Other Assets,536.03,536.97,598.16,545.33,572.59,568.32,305.02,291.07
Total Assets,713.82,722.03,794.59,748.0,770.69,768.67,458.52,447.14
