,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,290.0,368.0,412.0,484.0,550.0,669.0,252.0,402.0,875.0,936
Expenses,239.0,268.0,295.0,348.0,381.0,429.0,194.0,283.0,427.0,463
Operating Profit,51.0,100.0,117.0,136.0,169.0,241.0,57.0,119.0,448.0,473
OPM %,18.0,27.0,28.0,28.0,31.0,36.0,23.0,30.0,51.0,51
Other Income,13.0,5.0,12.0,13.0,15.0,11.0,22.0,22.0,10.0,9
Interest,72.0,72.0,78.0,78.0,85.0,162.0,190.0,181.0,182.0,185
Depreciation,52.0,52.0,51.0,53.0,54.0,92.0,108.0,104.0,97.0,92
Profit before tax,-60.0,-19.0,-0.0,18.0,45.0,-2.0,-219.0,-145.0,178.0,204
Tax %,-5.0,-35.0,-1452.0,21.0,-25.0,-499.0,15.0,5.0,21.0,
Net Profit,-63.0,-26.0,-5.0,15.0,56.0,-13.0,-187.0,-137.0,141.0,162
EPS in Rs,-0.81,-0.35,-0.08,0.18,0.67,-0.12,-1.6,-1.1,1.45,1.65
