,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,88,0,88,88,88,88,20,20,20,20.0
Reserves,-91,129,17,-15,-59,-76,18,20,8,0.0
Preference Capital,5,0,0,3,3,3,27,27,27,
Borrowings,52,53,83,90,97,100,48,57,46,60.0
Other Liabilities,52,47,49,56,75,83,47,49,69,63.0
Total Liabilities,101,229,236,219,201,194,133,146,143,143.0
Fixed Assets,33,178,176,174,171,168,120,118,60,59.0
CWIP,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,0,0,0,0.0
Other Assets,68,50,59,45,30,26,13,29,84,84.0
Total Assets,101,229,236,219,201,194,133,146,143,143.0
