,Sep 2011,Sep 2012,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,132.0,161.0,135.0,123.0,200.0,144.0,150.0,191.0,220.0,226.0,260.0,313.0,312
Expenses,137.0,147.0,133.0,124.0,178.0,125.0,124.0,155.0,170.0,181.0,209.0,252.0,251
Operating Profit,-6.0,13.0,2.0,-1.0,22.0,18.0,25.0,36.0,50.0,45.0,51.0,62.0,60
OPM %,-4.0,8.0,1.0,-1.0,11.0,13.0,17.0,19.0,23.0,20.0,19.0,20.0,19
Other Income,5.0,5.0,0.0,19.0,5.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,2
Interest,8.0,9.0,10.0,7.0,13.0,8.0,6.0,7.0,13.0,10.0,8.0,9.0,7
Depreciation,8.0,9.0,9.0,9.0,11.0,8.0,9.0,13.0,20.0,22.0,25.0,28.0,25
Profit before tax,-16.0,1.0,-17.0,2.0,2.0,7.0,15.0,20.0,20.0,16.0,23.0,28.0,30
Tax %,4.0,19.0,2.0,24.0,0.0,9.0,20.0,-11.0,29.0,22.0,31.0,29.0,
Net Profit,-16.0,1.0,-17.0,2.0,2.0,6.0,12.0,22.0,14.0,12.0,16.0,20.0,22
EPS in Rs,-6.81,0.45,-7.29,0.85,0.97,2.75,5.31,9.77,6.3,5.42,7.05,8.7,9.67
