,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2019.0,4927.0,5175.0,6903.0,10299.0,10396.0,9593.0,8201.0,7562.0,7934.0,7503.0,7543.0,7590
Expenses,1593.0,3214.0,3258.0,4317.0,5884.0,5889.0,5199.0,4268.0,4552.0,4359.0,4768.0,5636.0,5734
Operating Profit,426.0,1713.0,1917.0,2587.0,4414.0,4506.0,4393.0,3934.0,3010.0,3575.0,2735.0,1906.0,1856
OPM %,21.0,35.0,37.0,37.0,43.0,43.0,46.0,48.0,40.0,45.0,36.0,25.0,24
Other Income,945.0,357.0,370.0,298.0,323.0,496.0,276.0,-2823.0,-3368.0,486.0,192.0,1314.0,1373
Interest,298.0,585.0,684.0,1074.0,2683.0,2843.0,2926.0,3206.0,3054.0,2539.0,2721.0,2527.0,2569
Depreciation,121.0,285.0,364.0,524.0,701.0,734.0,759.0,838.0,836.0,1083.0,1077.0,1033.0,1043
Profit before tax,952.0,1200.0,1239.0,1286.0,1353.0,1425.0,984.0,-2934.0,-4248.0,439.0,-871.0,-339.0,-383
Tax %,9.0,16.0,17.0,20.0,34.0,23.0,15.0,-1.0,-1.0,-3.0,-5.0,-19.0,
Net Profit,867.0,1011.0,1027.0,1028.0,895.0,1104.0,840.0,-2952.0,-4271.0,454.0,-915.0,-403.0,-522
EPS in Rs,3.09,3.61,3.67,3.67,3.19,3.94,3.0,-10.52,-14.53,0.82,-2.84,-1.26,-1.37
