,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,5627.0,5352.0,11728.0,11921.0,10205.0,9258.0,11303.0,14049.0,12361.0,10465.0,14527.0,21011.0,19498
Expenses,4283.0,4242.0,10411.0,10716.0,8854.0,7727.0,9030.0,12083.0,10880.0,8787.0,12166.0,17474.0,17326
Operating Profit,1344.0,1110.0,1317.0,1205.0,1351.0,1531.0,2273.0,1966.0,1481.0,1677.0,2360.0,3537.0,2171
OPM %,24.0,21.0,11.0,10.0,13.0,17.0,20.0,14.0,12.0,16.0,16.0,17.0,11
Other Income,22.0,66.0,57.0,-180.0,72.0,99.0,-68.0,42.0,156.0,456.0,193.0,105.0,154
Interest,246.0,373.0,593.0,620.0,596.0,631.0,595.0,457.0,452.0,491.0,479.0,524.0,724
Depreciation,113.0,120.0,357.0,347.0,328.0,519.0,526.0,555.0,594.0,792.0,798.0,790.0,769
Profit before tax,1007.0,683.0,423.0,58.0,498.0,480.0,1084.0,996.0,591.0,851.0,1276.0,2327.0,832
Tax %,34.0,32.0,9.0,-21.0,39.0,37.0,27.0,37.0,22.0,31.0,46.0,32.0,
Net Profit,665.0,465.0,386.0,70.0,302.0,301.0,792.0,631.0,462.0,588.0,694.0,1577.0,409
EPS in Rs,18.95,13.39,11.43,2.63,9.61,8.65,22.7,17.29,11.64,16.6,17.25,42.77,8.03
