,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,290.0,347.0,487.0,525.0,446.0,764.0,798.0,844.0,1103.0,900.0,1039.0,1188.0,1162
Expenses,217.0,269.0,364.0,393.0,309.0,565.0,579.0,711.0,889.0,759.0,877.0,1048.0,1028
Operating Profit,73.0,78.0,123.0,132.0,136.0,199.0,220.0,133.0,213.0,140.0,162.0,140.0,134
OPM %,25.0,22.0,25.0,25.0,31.0,26.0,28.0,16.0,19.0,16.0,16.0,12.0,12
Other Income,6.0,18.0,16.0,34.0,33.0,43.0,54.0,15.0,51.0,24.0,40.0,50.0,49
Interest,1.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,13.0,12.0,10.0,12.0,11
Depreciation,5.0,4.0,4.0,4.0,4.0,7.0,7.0,10.0,21.0,21.0,24.0,26.0,28
Profit before tax,73.0,91.0,135.0,161.0,165.0,235.0,265.0,130.0,230.0,131.0,168.0,152.0,144
Tax %,27.0,34.0,22.0,28.0,28.0,29.0,27.0,30.0,21.0,18.0,28.0,24.0,
Net Profit,53.0,60.0,106.0,116.0,118.0,166.0,193.0,92.0,182.0,107.0,121.0,116.0,114
EPS in Rs,7.59,8.59,15.1,16.56,16.91,23.77,27.52,13.19,25.94,15.34,17.2,16.64,16.42
