,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1592.0,1953.0,2349.0,2379.0,3107.0,3551.0,4074.0,4515.0,4233.0,3730.0,4208.0,3739.0
Expenses,1561.0,1920.0,2308.0,2334.0,3056.0,3494.0,4005.0,4438.0,4144.0,3653.0,4109.0,3788.0
Operating Profit,31.0,33.0,40.0,45.0,51.0,57.0,70.0,77.0,88.0,77.0,98.0,-48.0
OPM %,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0
Other Income,6.0,8.0,13.0,10.0,10.0,19.0,15.0,17.0,17.0,17.0,16.0,6.0
Interest,19.0,27.0,33.0,33.0,34.0,45.0,50.0,54.0,61.0,63.0,74.0,73.0
Depreciation,2.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
Profit before tax,16.0,12.0,18.0,18.0,22.0,28.0,32.0,35.0,40.0,28.0,37.0,-119.0
Tax %,34.0,33.0,34.0,32.0,33.0,37.0,36.0,35.0,24.0,26.0,27.0,4.0
Net Profit,10.0,8.0,12.0,12.0,15.0,17.0,20.0,23.0,31.0,21.0,27.0,-114.0
EPS in Rs,1.46,1.16,1.66,1.72,1.92,2.25,2.62,2.64,3.56,2.41,3.12,-13.33
