,Mar 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1080.0,2204.0,3991.0,2783.0,2132.0,1818.0,1869.0,1239.0,562.0,333.0,308.0,177.0,229
Expenses,1303.0,2150.0,3835.0,2584.0,2336.0,1668.0,1712.0,1327.0,556.0,554.0,526.0,301.0,370
Operating Profit,-222.0,54.0,156.0,199.0,-204.0,150.0,157.0,-88.0,6.0,-221.0,-218.0,-124.0,-141
OPM %,-21.0,2.0,4.0,7.0,-10.0,8.0,8.0,-7.0,1.0,-67.0,-71.0,-70.0,-62
Other Income,353.0,111.0,157.0,116.0,134.0,196.0,277.0,-1618.0,-354.0,-3.0,-108.0,33.0,86
Interest,75.0,214.0,334.0,273.0,308.0,349.0,409.0,290.0,26.0,43.0,46.0,23.0,27
Depreciation,57.0,98.0,114.0,64.0,56.0,48.0,45.0,37.0,32.0,19.0,14.0,10.0,9
Profit before tax,-1.0,-146.0,-136.0,-22.0,-435.0,-52.0,-21.0,-2033.0,-406.0,-286.0,-386.0,-124.0,-91
Tax %,337.0,-7.0,-3.0,-4.0,-0.0,-1.0,18.0,-1.0,0.0,0.0,0.0,0.0,
Net Profit,2.0,-157.0,-140.0,-23.0,-437.0,-46.0,15.0,-2043.0,-405.0,-285.0,-386.0,-124.0,-91
EPS in Rs,0.32,-16.37,-16.15,-0.97,-26.89,-3.53,0.88,-155.79,-30.89,-21.74,-29.45,-9.46,-6.91
