,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25,8.0,0.0,0.0,1491.0,242.0,1.0,1.0,1.0,2477.0,3125.0,1733
Expenses,0,0.0,1.0,1.0,1283.0,353.0,185.0,64.0,-21.0,1170.0,1982.0,1091
Operating Profit,25,8.0,-0.0,-1.0,208.0,-111.0,-184.0,-63.0,22.0,1307.0,1143.0,642
OPM %,100,96.0,-54.0,-750.0,14.0,-46.0,-17712.0,-6145.0,2058.0,53.0,37.0,37
Other Income,0,0.0,0.0,0.0,53.0,-316.0,-19.0,0.0,0.0,564.0,3.0,104
Interest,0,0.0,0.0,0.0,738.0,206.0,41.0,46.0,53.0,109.0,114.0,52
Depreciation,0,0.0,0.0,0.0,174.0,34.0,0.0,0.0,0.0,225.0,280.0,136
Profit before tax,25,8.0,-0.0,-1.0,-651.0,-667.0,-244.0,-110.0,-31.0,1537.0,751.0,558
Tax %,2,5.0,-7.0,-5.0,33.0,8.0,-0.0,-0.0,-0.0,6.0,34.0,
Net Profit,4,-13.0,-19.0,-20.0,-435.0,-700.0,-244.0,-110.0,-31.0,1443.0,498.0,427
EPS in Rs,,-12.14,-17.63,-19.45,-377.53,-665.65,-129.02,-89.32,-15.21,756.67,267.4,289.50
