,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,11,11,11,11,11,11,11,11,11,11,11
Reserves,622,598,580,559,52,-59,-112,-206,-210,2445,2346,2443
Borrowings,0,0,0,0,5822,630,460,472,726,1628,27,27
Other Liabilities,4,0,0,0,1838,64,138,169,-19,3287,38,40
Total Liabilities,625,609,590,570,7722,645,497,446,508,7371,2422,2520
Fixed Assets,5,4,4,4,6606,9,9,9,9,5836,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,592,578,560,540,94,403,421,384,446,55,2422,2520
Other Assets,27,27,27,26,1022,233,67,52,52,1480,0,0
Total Assets,625,609,590,570,7722,645,497,446,508,7371,2422,2520
