,Mar 2010,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.0,19.0,22.0,54.0,70.0,77.0,82.0,84.0,102.0,118
Expenses,16.0,18.0,21.0,52.0,67.0,73.0,78.0,78.0,95.0,110
Operating Profit,1.0,1.0,1.0,3.0,3.0,4.0,5.0,6.0,7.0,8
OPM %,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,7
Other Income,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,6
Tax %,22.0,17.0,30.0,27.0,36.0,26.0,30.0,27.0,27.0,
Net Profit,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,4
EPS in Rs,2.33,2.59,2.5,1.77,1.87,2.56,2.84,2.8,3.3,3.77
