,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4730.0,5890.0,7243.0,9221.0,11628.0,14952.0,17020.0,13219.0,9998.0,8988.0,8719.0,8542
Expenses,514.0,632.0,816.0,1105.0,1485.0,2033.0,1654.0,2040.0,1429.0,1119.0,1400.0,1411
Operating Profit,4216.0,5258.0,6427.0,8117.0,10144.0,12919.0,15366.0,11179.0,8569.0,7869.0,7319.0,7131
OPM %,89.0,89.0,89.0,88.0,87.0,86.0,90.0,85.0,86.0,88.0,84.0,83
Other Income,48.0,14.0,9.0,4.0,62.0,6.0,6.0,2.0,29.0,6.0,8.0,33
Interest,2599.0,3282.0,3944.0,4971.0,6411.0,8010.0,9726.0,8512.0,6939.0,6242.0,5636.0,5435
Depreciation,9.0,8.0,19.0,20.0,23.0,37.0,43.0,108.0,97.0,77.0,86.0,86
Profit before tax,1655.0,1982.0,2473.0,3129.0,3772.0,4878.0,5604.0,2561.0,1562.0,1556.0,1606.0,1643
Tax %,24.0,21.0,23.0,25.0,23.0,21.0,28.0,15.0,23.0,24.0,30.0,
Net Profit,1266.0,1569.0,1901.0,2345.0,2906.0,3895.0,4091.0,2200.0,1202.0,1178.0,1130.0,1146
EPS in Rs,40.27,46.83,53.47,55.66,68.57,91.33,95.71,51.45,25.99,25.13,23.95,24.19
