,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,36.0,42.0,44.0,48.0,44.0,42.0,42.0,45.0,43.0,37.0,33
Expenses,12.0,15.0,17.0,18.0,25.0,27.0,26.0,21.0,28.0,30.0,22.0,22
Operating Profit,18.0,22.0,26.0,26.0,23.0,17.0,15.0,21.0,17.0,13.0,15.0,11
OPM %,59.0,60.0,60.0,60.0,48.0,38.0,37.0,49.0,37.0,30.0,41.0,34
Other Income,-0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3
Interest,2.0,2.0,2.0,3.0,14.0,14.0,18.0,25.0,27.0,30.0,18.0,39
Depreciation,3.0,3.0,2.0,2.0,10.0,10.0,9.0,12.0,12.0,12.0,11.0,11
Profit before tax,13.0,17.0,21.0,22.0,2.0,-7.0,-11.0,-16.0,-21.0,-28.0,-12.0,-36
Tax %,34.0,35.0,31.0,30.0,462.0,-17.0,-13.0,-7.0,-10.0,-6.0,-14.0,
Net Profit,8.0,11.0,15.0,16.0,-6.0,-8.0,-13.0,-17.0,-23.0,-29.0,-14.0,-37
EPS in Rs,7.63,10.0,13.19,14.13,-5.29,-7.14,-11.84,-15.42,-21.49,-26.96,-12.68,-34.20
