,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,388.0,456.0,475.0,545.0,647.0,761.0,856.0,998.0,1228.0,1148.0,1154
Expenses,285.0,339.0,359.0,405.0,467.0,559.0,619.0,708.0,880.0,855.0,875
Operating Profit,104.0,117.0,116.0,140.0,181.0,203.0,237.0,290.0,348.0,293.0,279
OPM %,27.0,26.0,24.0,26.0,28.0,27.0,28.0,29.0,28.0,26.0,24
Other Income,10.0,7.0,29.0,39.0,6.0,8.0,-17.0,12.0,34.0,15.0,12
Interest,3.0,2.0,2.0,2.0,4.0,4.0,13.0,12.0,25.0,32.0,24
Depreciation,16.0,21.0,17.0,17.0,19.0,20.0,39.0,46.0,63.0,89.0,90
Profit before tax,95.0,101.0,128.0,160.0,164.0,187.0,169.0,244.0,293.0,188.0,177
Tax %,34.0,33.0,36.0,33.0,32.0,34.0,24.0,25.0,27.0,24.0,
Net Profit,63.0,68.0,82.0,107.0,112.0,124.0,128.0,183.0,215.0,143.0,134
EPS in Rs,57.34,61.82,80.47,106.52,109.23,23.94,25.15,35.82,41.85,27.9,26.04
