,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,711.0,1010.0,1159.0,743.0,703.0,818.0,808.0,929.0,1033.0,968.0,1068.0,1125
Expenses,572.0,789.0,850.0,556.0,564.0,597.0,596.0,676.0,735.0,765.0,816.0,839
Operating Profit,139.0,221.0,310.0,188.0,140.0,222.0,212.0,253.0,298.0,203.0,252.0,286
OPM %,20.0,22.0,27.0,25.0,20.0,27.0,26.0,27.0,29.0,21.0,24.0,25
Other Income,6.0,10.0,15.0,13.0,-25.0,24.0,43.0,46.0,46.0,41.0,55.0,65
Interest,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
Depreciation,12.0,16.0,15.0,27.0,30.0,25.0,23.0,26.0,22.0,21.0,21.0,22
Profit before tax,132.0,214.0,310.0,173.0,84.0,220.0,231.0,273.0,321.0,223.0,286.0,328
Tax %,3.0,2.0,3.0,3.0,8.0,4.0,6.0,5.0,3.0,4.0,5.0,
Net Profit,128.0,209.0,301.0,167.0,77.0,211.0,217.0,260.0,311.0,213.0,273.0,311
EPS in Rs,18.7,30.42,43.68,24.31,11.27,31.96,34.45,42.94,51.47,36.43,48.59,55.40
