,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.81,48.62,56.78,54.09,59.46,66.09,78.21,78.42,55.01,63.65,113.84,107.31,98.04
Expenses,37.85,45.15,50.19,51.08,54.02,60.37,76.92,76.43,58.03,57.04,82.83,96.56,90.08
Operating Profit,4.96,3.47,6.59,3.01,5.44,5.72,1.29,1.99,-3.02,6.61,31.01,10.75,7.96
OPM %,11.59,7.14,11.61,5.56,9.15,8.65,1.65,2.54,-5.49,10.38,27.24,10.02,8.12
Other Income,1.26,0.76,1.21,0.97,0.92,0.67,1.29,-4.17,0.91,1.29,-4.06,1.8,2.71
Interest,2.44,2.87,2.72,2.74,2.62,3.77,5.14,5.14,4.18,3.45,4.07,5.5,6.74
Depreciation,3.38,3.95,3.98,3.61,3.69,3.99,4.3,4.14,3.75,3.95,3.92,3.9,4.49
Profit before tax,0.4,-2.59,1.1,-2.37,0.05,-1.37,-6.86,-11.46,-10.04,0.5,18.96,3.15,-0.56
Tax %,2.5,36.29,4.55,29.54,80.0,27.74,65.01,27.14,0.1,-260.0,25.0,23.17,
Net Profit,0.39,-1.66,1.05,-1.68,0.0,-0.99,-2.4,-8.35,-10.03,1.81,14.23,2.42,-0.38
EPS in Rs,0.32,-1.38,0.87,-1.4,0.0,-0.82,-2.0,-6.94,-8.34,1.5,11.83,2.01,-0.32
