,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1658.0,1593.0,1524.0,1652.0,2892.0,2938.0,2061.0,3170.0,2861.0,2728.0,3809.0,5091.0,6401
Expenses,1491.0,1402.0,1362.0,1561.0,2700.0,2726.0,1796.0,2843.0,2523.0,2515.0,3516.0,4691.0,5838
Operating Profit,167.0,191.0,162.0,91.0,192.0,212.0,264.0,327.0,338.0,213.0,293.0,400.0,564
OPM %,10.0,12.0,11.0,6.0,7.0,7.0,13.0,10.0,12.0,8.0,8.0,8.0,9
Other Income,10.0,10.0,34.0,114.0,-102.0,23.0,7.0,14.0,-10.0,45.0,45.0,63.0,48
Interest,106.0,119.0,128.0,136.0,138.0,89.0,88.0,124.0,130.0,138.0,142.0,165.0,194
Depreciation,42.0,51.0,44.0,43.0,37.0,46.0,58.0,82.0,137.0,100.0,103.0,114.0,158
Profit before tax,28.0,31.0,24.0,27.0,-85.0,99.0,126.0,134.0,60.0,20.0,94.0,184.0,260
Tax %,20.0,29.0,61.0,28.0,30.0,48.0,42.0,38.0,27.0,20.0,26.0,32.0,
Net Profit,23.0,22.0,9.0,19.0,-59.0,51.0,73.0,83.0,44.0,16.0,69.0,125.0,181
EPS in Rs,1.96,1.91,0.81,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,4.01,7.23,10.49
