,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1352.0,903.0,699.0,594.0,1349.0,996.0,709.0,869.0,700.0,415.0,353.0,349.0,370
Expenses,1249.0,917.0,787.0,685.0,1266.0,933.0,732.0,821.0,730.0,448.0,507.0,348.0,374
Operating Profit,103.0,-14.0,-89.0,-90.0,83.0,62.0,-24.0,48.0,-30.0,-34.0,-153.0,1.0,-4
OPM %,8.0,-2.0,-13.0,-15.0,6.0,6.0,-3.0,6.0,-4.0,-8.0,-43.0,0.0,-1
Other Income,10.0,50.0,22.0,28.0,35.0,-62.0,177.0,333.0,-133.0,25.0,13.0,-86.0,-82
Interest,98.0,134.0,142.0,186.0,198.0,201.0,206.0,60.0,60.0,60.0,28.0,13.0,10
Depreciation,19.0,39.0,32.0,41.0,46.0,43.0,33.0,27.0,14.0,9.0,9.0,9.0,7
Profit before tax,-5.0,-137.0,-241.0,-289.0,-126.0,-244.0,-85.0,294.0,-237.0,-77.0,-177.0,-106.0,-102
Tax %,-282.0,23.0,-2.0,27.0,-4.0,-25.0,-3.0,2.0,-17.0,-5.0,-2.0,-19.0,
Net Profit,-18.0,-106.0,-247.0,-209.0,-132.0,-306.0,-87.0,287.0,-278.0,-81.0,-180.0,-126.0,-123
EPS in Rs,-2.42,-14.27,-33.31,-24.13,-9.19,-18.32,-6.28,17.32,-15.73,-4.61,-10.22,-6.98,-6.68
