,Sep 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,941.0,643.0,677.0,459.0,1086.0,1172.0,1520.0,1939.0,952.0,906.0,1491.0,2324.0,2465
Expenses,838.0,589.0,620.0,424.0,990.0,1059.0,1353.0,1710.0,859.0,840.0,1356.0,2066.0,2185
Operating Profit,102.0,54.0,57.0,35.0,96.0,114.0,167.0,229.0,93.0,66.0,135.0,257.0,280
OPM %,11.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0,10.0,7.0,9.0,11.0,11
Other Income,1.0,2.0,6.0,3.0,1.0,2.0,5.0,3.0,6.0,3.0,4.0,5.0,9
Interest,10.0,9.0,7.0,4.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3
Depreciation,27.0,29.0,29.0,17.0,39.0,39.0,43.0,46.0,37.0,36.0,36.0,41.0,39
Profit before tax,67.0,19.0,26.0,16.0,52.0,75.0,128.0,185.0,60.0,30.0,100.0,218.0,247
Tax %,32.0,32.0,30.0,36.0,33.0,34.0,34.0,34.0,31.0,25.0,26.0,26.0,
Net Profit,45.0,13.0,18.0,11.0,35.0,49.0,84.0,122.0,41.0,23.0,74.0,162.0,184
EPS in Rs,29.79,8.4,12.03,6.97,23.01,32.7,55.54,80.43,27.22,15.04,49.21,107.22,122.03
