,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,21,21,21,21,21,21,21
Reserves,192,242,285,338,434,520,563,594
Borrowings,211,186,135,155,61,68,97,124
Other Liabilities,344,359,447,446,645,579,583,490
Total Liabilities,747,808,889,960,1162,1187,1265,1229
Fixed Assets,0,106,117,190,186,212,226,240
CWIP,0,5,4,10,11,3,86,151
Investments,0,0,0,0,0,0,0,0
Other Assets,747,698,768,760,965,972,953,838
Total Assets,747,808,889,960,1162,1187,1265,1229
