,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1446.0,1431.0,961.0,1060.0,1250.0,1427.0,1647.0,1755.0,1885.0,1982.0,2692.0,2838.0,3271
Expenses,1422.0,1462.0,925.0,945.0,1089.0,1254.0,1427.0,1538.0,1732.0,1828.0,2435.0,2534.0,2918
Operating Profit,24.0,-32.0,36.0,115.0,161.0,173.0,219.0,216.0,153.0,154.0,257.0,304.0,354
OPM %,2.0,-2.0,4.0,11.0,13.0,12.0,13.0,12.0,8.0,8.0,10.0,11.0,11
Other Income,6.0,38.0,37.0,11.0,13.0,8.0,6.0,10.0,10.0,22.0,28.0,30.0,31
Interest,31.0,37.0,39.0,39.0,35.0,27.0,25.0,19.0,35.0,43.0,44.0,33.0,41
Depreciation,47.0,40.0,12.0,21.0,20.0,24.0,26.0,28.0,32.0,30.0,34.0,39.0,46
Profit before tax,-48.0,-71.0,22.0,67.0,119.0,131.0,175.0,179.0,97.0,103.0,208.0,262.0,299
Tax %,4.0,0.0,0.0,4.0,29.0,34.0,34.0,35.0,33.0,25.0,26.0,26.0,
Net Profit,-46.0,-71.0,22.0,64.0,84.0,86.0,115.0,117.0,64.0,77.0,155.0,194.0,222
EPS in Rs,-7.39,-11.36,3.46,9.56,12.6,12.84,17.23,17.51,9.61,11.52,23.17,28.96,33.12
