,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,336.0,464.0,697.0,906.0,1146.0,1195.0,1410.0,1442.0,1608.0,1537.0,1446.0,1345.0,1337
Expenses,338.0,391.0,583.0,768.0,900.0,992.0,1100.0,1119.0,1294.0,1294.0,1254.0,1225.0,1246
Operating Profit,-2.0,73.0,114.0,138.0,246.0,203.0,311.0,323.0,314.0,243.0,192.0,120.0,91
OPM %,-1.0,16.0,16.0,15.0,21.0,17.0,22.0,22.0,20.0,16.0,13.0,9.0,7
Other Income,-3.0,13.0,12.0,30.0,23.0,6.0,-3.0,-42.0,-35.0,-11.0,0.0,25.0,26
Interest,57.0,86.0,119.0,121.0,140.0,127.0,140.0,171.0,158.0,126.0,120.0,115.0,113
Depreciation,30.0,56.0,84.0,133.0,165.0,241.0,326.0,365.0,346.0,349.0,331.0,344.0,340
Profit before tax,-92.0,-56.0,-77.0,-85.0,-36.0,-160.0,-158.0,-254.0,-224.0,-243.0,-259.0,-314.0,-335
Tax %,-3.0,-8.0,-8.0,-20.0,-14.0,-12.0,-7.0,-4.0,4.0,1.0,-1.0,-0.0,
Net Profit,-95.0,-61.0,-83.0,-102.0,-41.0,-179.0,-170.0,-264.0,-214.0,-241.0,-261.0,-315.0,-335
EPS in Rs,-2.02,-1.42,-1.81,-1.61,-0.6,-2.16,-2.22,-3.05,-2.32,-2.75,-2.89,-3.21,-3.38
