,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1710.0,1979.0,2493.0,2245.0,3378.0,4921.0,4929
Expenses,1348.0,1468.0,1875.0,1983.0,2740.0,3274.0,3271
Operating Profit,362.0,511.0,618.0,261.0,638.0,1647.0,1658
OPM %,21.0,26.0,25.0,12.0,19.0,33.0,34
Other Income,18.0,20.0,52.0,12.0,54.0,58.0,104
Interest,42.0,29.0,75.0,70.0,59.0,37.0,37
Depreciation,116.0,176.0,198.0,229.0,213.0,189.0,186
Profit before tax,222.0,326.0,397.0,-26.0,420.0,1478.0,1540
Tax %,-0.0,9.0,-2.0,83.0,18.0,26.0,
Net Profit,223.0,296.0,406.0,-4.0,346.0,1087.0,1129
EPS in Rs,33.79,44.82,56.08,-0.47,46.49,142.62,148.10
