,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.0,10.0,11.0,12.0,13.0,16.0,19.0,22.0,24.0,21.0,22.0,28.0,30
Expenses,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,8.0,7.0,9.0,10
Operating Profit,6.0,8.0,8.0,9.0,9.0,11.0,15.0,17.0,17.0,13.0,15.0,19.0,20
OPM %,73.0,75.0,72.0,72.0,71.0,71.0,76.0,77.0,73.0,64.0,68.0,68.0,68
Other Income,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,3.0,3.0,3.0,3.0,4.0,5.0,7.0,8.0,9.0,9.0,7.0,7.0,7
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,3.0,4.0,5.0,6.0,5.0,6.0,8.0,9.0,8.0,5.0,8.0,11.0,14
Tax %,37.0,37.0,37.0,35.0,37.0,34.0,28.0,28.0,28.0,30.0,26.0,26.0,
Net Profit,2.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,6.0,8.0,10
EPS in Rs,4.32,5.66,6.02,7.58,6.92,8.59,11.33,12.79,11.61,7.02,12.03,13.36,15.97
