,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,40.0,43.0,50.0,111.0,118.0,126.0,207.0,110.0,159.0,152.0,158.0,187
Expenses,36.0,41.0,44.0,101.0,106.0,105.0,173.0,85.0,129.0,125.0,133.0,158
Operating Profit,4.0,2.0,5.0,10.0,12.0,21.0,34.0,25.0,30.0,27.0,25.0,29
OPM %,9.0,4.0,11.0,9.0,10.0,16.0,16.0,23.0,19.0,18.0,16.0,15
Other Income,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,0.0,0.0,3.0,4.0,4.0,5.0,9.0,5.0,4.0,5.0,4.0,4
Depreciation,1.0,1.0,2.0,2.0,3.0,4.0,7.0,10.0,11.0,15.0,13.0,12
Profit before tax,3.0,2.0,4.0,5.0,5.0,12.0,18.0,10.0,14.0,8.0,9.0,13
Tax %,31.0,38.0,38.0,37.0,38.0,34.0,37.0,25.0,29.0,33.0,42.0,
Net Profit,2.0,1.0,2.0,3.0,3.0,8.0,11.0,8.0,10.0,5.0,5.0,8
EPS in Rs,5.53,2.92,5.55,6.99,7.47,9.22,8.8,5.97,7.89,4.01,3.94,6.23
