,Mar 2010,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,363.0,555.0,647.0,716.0,773.0,662.0,711.0,713.0,813.0,859.0,872.0,991
Expenses,309.0,448.0,518.0,565.0,587.0,470.0,526.0,514.0,567.0,596.0,613.0,748
Operating Profit,54.0,106.0,129.0,152.0,186.0,191.0,185.0,199.0,246.0,263.0,259.0,244
OPM %,15.0,19.0,20.0,21.0,24.0,29.0,26.0,28.0,30.0,31.0,30.0,25
Other Income,19.0,26.0,23.0,29.0,23.0,36.0,37.0,36.0,20.0,31.0,38.0,37
Interest,2.0,5.0,8.0,5.0,5.0,9.0,7.0,7.0,13.0,23.0,27.0,33
Depreciation,3.0,6.0,10.0,14.0,18.0,20.0,23.0,26.0,27.0,33.0,53.0,56
Profit before tax,68.0,121.0,134.0,162.0,186.0,198.0,191.0,202.0,226.0,239.0,217.0,192
Tax %,34.0,32.0,26.0,26.0,32.0,34.0,32.0,21.0,26.0,26.0,28.0,
Net Profit,45.0,82.0,99.0,119.0,126.0,131.0,131.0,160.0,166.0,176.0,156.0,137
EPS in Rs,304.91,440.16,529.31,637.18,674.23,7.01,6.97,8.53,8.88,9.41,8.32,7.32
