,2016-03-01,2017-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.0,2.0,2.0,2.0,16.5,22.5,22.5
Reserves,-4.62,-10.76,-34.29,-37.32,34.14,46.42,42.25
Preference Capital,10.0,23.0,23.0,23.0,0.0,0.0,
Borrowings,12.61,6.11,28.35,33.08,8.02,0.0,0.0
Other Liabilities,13.21,25.77,29.55,27.48,5.38,6.34,15.23
Total Liabilities,23.2,23.12,25.61,25.24,64.04,75.26,79.98
Fixed Assets,5.63,9.19,16.7,14.87,18.18,18.71,18.95
CWIP,4.34,0.23,0.45,2.35,0.26,1.36,0.77
Investments,0.0,0.0,0.01,0.01,0.02,10.07,10.07
Other Assets,13.23,13.7,8.45,8.01,45.58,45.12,50.19
Total Assets,23.2,23.12,25.61,25.24,64.04,75.26,79.98
