,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.99,12.54,27.51,18.13,20.68,33.75,36.56
Expenses,7.7,16.43,27.04,17.32,17.7,35.25,40.94
Operating Profit,-0.71,-3.89,0.47,0.81,2.98,-1.5,-4.38
OPM %,-10.16,-31.02,1.71,4.47,14.41,-4.44,-11.98
Other Income,-0.25,0.0,0.5,0.43,0.13,0.59,1.11
Interest,0.36,0.0,1.57,1.71,0.36,1.09,0.49
Depreciation,1.02,2.67,2.91,2.67,2.68,2.2,3.56
Profit before tax,-2.34,-6.56,-3.51,-3.14,0.07,-4.2,-7.32
Tax %,2.14,6.25,7.69,3.82,-100.0,-2.38,
Net Profit,-2.29,-6.15,-3.24,-3.03,0.15,-4.3,-7.27
EPS in Rs,-11.45,-3.08,-1.62,-1.52,0.09,-1.91,-3.23
