,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,609.0,811.0,914.0,1087.0,1450.0,1347.0,1497.0,1878.0,2231.0,2421
Expenses,689.0,847.0,937.0,1012.0,1317.0,1271.0,1138.0,1403.0,1793.0,1922
Operating Profit,-80.0,-36.0,-23.0,75.0,132.0,75.0,360.0,475.0,439.0,499
OPM %,-13.0,-4.0,-3.0,7.0,9.0,6.0,24.0,25.0,20.0,21
Other Income,18.0,27.0,41.0,32.0,66.0,38.0,20.0,43.0,53.0,66
Interest,1.0,2.0,13.0,17.0,16.0,22.0,13.0,7.0,6.0,2
Depreciation,19.0,21.0,24.0,27.0,42.0,69.0,77.0,98.0,122.0,132
Profit before tax,-82.0,-33.0,-20.0,64.0,140.0,23.0,290.0,413.0,363.0,431
Tax %,-2.0,28.0,-15.0,11.0,6.0,22.0,9.0,15.0,26.0,
Net Profit,-83.0,-23.0,-22.0,57.0,131.0,18.0,265.0,350.0,269.0,318
EPS in Rs,-6.75,-1.9,-1.79,3.72,9.97,1.21,19.76,25.94,19.69,23.29
