,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.0,9.0,10.0,9.0,9.0,17.0,38.0,63.0,68.0,100.0,143.0,138.0,154
Expenses,6.0,9.0,9.0,8.0,9.0,16.0,35.0,58.0,63.0,93.0,134.0,130.0,142
Operating Profit,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,7.0,9.0,8.0,11
OPM %,3.0,4.0,4.0,4.0,6.0,5.0,8.0,8.0,7.0,7.0,6.0,5.0,7
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Profit before tax,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,8.0,4.0,7
Tax %,28.0,55.0,31.0,17.0,31.0,31.0,27.0,31.0,30.0,26.0,28.0,27.0,
Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,3.0,5
EPS in Rs,0.72,0.5,0.61,0.28,0.61,1.39,1.37,2.12,2.05,3.02,3.73,2.18,3.45
