,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,537,537,537,537,966,970,971,972
Reserves,655,627,426,2016,4673,5313,6439,6874
Borrowings,874,981,1003,875,1101,913,689,660
Other Liabilities,1080,1157,1389,546,1803,1993,2003,2150
Total Liabilities,3146,3302,3355,3974,8543,9189,10102,10656
Fixed Assets,2244,2227,2192,851,6536,7018,7039,7126
CWIP,46,38,87,28,27,151,252,254
Investments,0,0,1,2182,1,1,1,1
Other Assets,856,1036,1075,913,1980,2020,2810,3276
Total Assets,3146,3302,3355,3974,8543,9189,10102,10656
