,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1608.0,1729.0,1691.0,1059.0,2508.0,3937.0,4563.0,5004
Expenses,1467.0,1616.0,1535.0,965.0,2101.0,2986.0,3322.0,3625
Operating Profit,141.0,113.0,156.0,94.0,407.0,951.0,1241.0,1379
OPM %,9.0,7.0,9.0,9.0,16.0,24.0,27.0,28
Other Income,59.0,65.0,56.0,48.0,-122.0,110.0,139.0,172
Interest,100.0,99.0,101.0,83.0,179.0,101.0,84.0,68
Depreciation,96.0,94.0,103.0,46.0,174.0,221.0,232.0,231
Profit before tax,5.0,-15.0,8.0,13.0,-69.0,739.0,1064.0,1252
Tax %,-236.0,-65.0,102.0,-1.0,-67.0,18.0,-4.0,
Net Profit,16.0,-25.0,-0.0,59.0,-138.0,605.0,1104.0,990
EPS in Rs,0.29,-0.47,-0.06,1.1,-1.42,6.24,11.37,10.19
