,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,705.0,789.0,764.0,760.0,782.0,805.0,812.0,824.0,835.0,893.0,917.0,850.0,815
Expenses,650.0,724.0,694.0,699.0,725.0,744.0,746.0,759.0,777.0,830.0,862.0,804.0,767
Operating Profit,55.0,65.0,70.0,61.0,57.0,61.0,66.0,65.0,59.0,62.0,54.0,46.0,49
OPM %,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,6
Other Income,2.0,2.0,-0.0,0.0,0.0,5.0,1.0,4.0,3.0,1.0,4.0,-0.0,1
Interest,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0,2.0,2.0,2.0,3.0,4
Depreciation,6.0,7.0,11.0,15.0,16.0,17.0,18.0,17.0,19.0,19.0,21.0,22.0,22
Profit before tax,51.0,61.0,57.0,45.0,35.0,45.0,49.0,51.0,41.0,43.0,35.0,20.0,25
Tax %,29.0,31.0,25.0,18.0,35.0,38.0,35.0,33.0,17.0,27.0,26.0,26.0,
Net Profit,36.0,42.0,43.0,37.0,23.0,28.0,32.0,34.0,34.0,31.0,26.0,15.0,18
EPS in Rs,14.89,17.19,17.49,15.15,9.52,11.35,12.95,14.05,13.89,12.83,10.61,6.19,7.49
