,Sep 2012,Sep 2013,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,181.0,197.0,238.0,519.0,301.0,336.0,401.0,448.0,535.0,370.0,513.0,759.0,879
Expenses,101.0,89.0,92.0,145.0,93.0,85.0,99.0,117.0,238.0,142.0,193.0,261.0,362
Operating Profit,79.0,109.0,146.0,373.0,209.0,251.0,301.0,331.0,297.0,229.0,320.0,498.0,517
OPM %,44.0,55.0,61.0,72.0,69.0,75.0,75.0,74.0,55.0,62.0,62.0,66.0,59
Other Income,32.0,10.0,8.0,6.0,15.0,8.0,11.0,6.0,4.0,23.0,21.0,17.0,27
Interest,179.0,203.0,240.0,231.0,194.0,222.0,208.0,205.0,214.0,215.0,183.0,183.0,169
Depreciation,44.0,21.0,24.0,28.0,23.0,60.0,63.0,52.0,53.0,57.0,55.0,58.0,60
Profit before tax,-112.0,-105.0,-110.0,120.0,6.0,-23.0,41.0,80.0,34.0,-20.0,103.0,274.0,314
Tax %,-3.0,-4.0,-1.0,-0.0,48.0,-25.0,13.0,9.0,19.0,-10.0,10.0,6.0,
Net Profit,-116.0,-109.0,-111.0,121.0,3.0,-29.0,36.0,72.0,27.0,-22.0,93.0,257.0,268
EPS in Rs,-12.89,-12.84,-13.81,16.31,0.81,0.88,6.38,10.19,5.23,-0.66,13.48,33.0,35.20
