,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.71,2.45,2.98,0.62,0.68,1.47,2.83,2.66,4.54,3.23
Expenses,4.29,1.63,2.03,0.84,1.67,1.88,3.09,2.67,3.07,2.43
Operating Profit,1.42,0.82,0.95,-0.22,-0.99,-0.41,-0.26,-0.01,1.47,0.8
OPM %,24.87,33.47,31.88,-35.48,-145.59,-27.89,-9.19,-0.38,32.38,24.77
Other Income,0.18,0.03,0.04,0.01,2.25,0.34,0.03,0.02,0.01,0.03
Interest,1.23,0.42,0.91,0.98,-0.49,0.12,0.12,0.11,0.16,0.12
Depreciation,0.26,0.23,0.25,0.23,0.23,0.56,0.56,0.55,0.55,0.54
Profit before tax,0.11,0.2,-0.17,-1.42,1.52,-0.75,-0.91,-0.65,0.77,0.17
Tax %,18.18,50.0,58.82,0.0,19.74,-14.67,-13.19,-24.62,-81.82,41.18
Net Profit,0.1,0.1,-0.06,-1.41,1.22,-0.86,-1.02,-0.8,1.4,0.11
EPS in Rs,0.06,0.06,-0.04,-0.89,0.7,-0.49,-0.58,-0.46,0.8,0.06
