,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
Reserves,7.35,9.59,11.87,14.01,16.9,19.22,21.87,24.11,25.05
Borrowings,9.2,7.91,9.47,15.59,21.98,22.66,24.13,22.68,18.39
Other Liabilities,8.7,7.97,9.21,10.5,14.29,15.6,19.53,18.27,19.58
Total Liabilities,30.74,30.96,36.04,45.59,58.66,62.97,71.02,70.55,68.51
Fixed Assets,16.51,15.79,17.55,26.25,36.16,36.42,40.68,39.46,38.7
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.05,0.06,0.07,0.07,0.13,0.13,0.13,0.13,0.13
Other Assets,14.18,15.11,18.42,19.27,22.37,26.42,30.21,30.96,29.68
Total Assets,30.74,30.96,36.04,45.59,58.66,62.97,71.02,70.55,68.51
