,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4854.0,5426.0,10866.0,1616.0,5552.0,5894.0,11558.0,3623.0,5145.0,5666.0,12495.0,3915.0,5636.0
Expenses,3826.0,4217.0,8155.0,1372.0,4309.0,4463.0,9063.0,2798.0,3535.0,4680.0,9252.0,3036.0,4107.0
Operating Profit,1028.0,1209.0,2711.0,244.0,1243.0,1431.0,2495.0,825.0,1610.0,986.0,3242.0,880.0,1529.0
OPM %,21.0,22.0,25.0,15.0,22.0,24.0,22.0,23.0,31.0,17.0,26.0,22.0,27.0
Other Income,88.0,92.0,133.0,150.0,138.0,195.0,503.0,192.0,261.0,497.0,722.0,411.0,471.0
Interest,71.0,53.0,30.0,15.0,1.0,1.0,42.0,0.0,0.0,2.0,55.0,0.0,0.0
Depreciation,220.0,179.0,648.0,111.0,243.0,373.0,382.0,208.0,252.0,269.0,1055.0,201.0,349.0
Profit before tax,825.0,1069.0,2166.0,268.0,1138.0,1251.0,2574.0,809.0,1619.0,1212.0,2854.0,1089.0,1650.0
Tax %,26.0,20.0,25.0,26.0,25.0,25.0,-21.0,25.0,25.0,5.0,0.0,25.0,25.0
Net Profit,613.0,853.0,1621.0,199.0,848.0,938.0,3102.0,607.0,1209.0,1154.0,2841.0,814.0,1235.0
EPS in Rs,9.17,12.76,24.24,2.97,12.68,14.02,46.38,9.07,18.08,17.25,42.48,12.17,18.47
