,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14211.0,14328.0,15135.0,15730.0,16758.0,17950.0,18519.0,20008.0,21445.0,22882.0,24620.0,26928.0,27712
Expenses,12665.0,13560.0,13565.0,13379.0,14281.0,14714.0,15059.0,15440.0,16565.0,17541.0,19200.0,20258.0,21075
Operating Profit,1546.0,768.0,1570.0,2351.0,2478.0,3236.0,3460.0,4569.0,4880.0,5341.0,5420.0,6669.0,6636
OPM %,11.0,5.0,10.0,15.0,15.0,18.0,19.0,23.0,23.0,23.0,22.0,25.0,24
Other Income,2511.0,3335.0,2618.0,1642.0,1598.0,1044.0,761.0,376.0,415.0,360.0,986.0,1672.0,2101
Interest,6.0,5.0,8.0,15.0,6.0,16.0,35.0,177.0,359.0,267.0,65.0,64.0,58
Depreciation,722.0,601.0,603.0,806.0,863.0,681.0,947.0,1024.0,998.0,1157.0,1110.0,1784.0,1875
Profit before tax,3329.0,3497.0,3578.0,3173.0,3207.0,3583.0,3240.0,3742.0,3938.0,4277.0,5231.0,6493.0,6805
Tax %,24.0,14.0,25.0,25.0,38.0,27.0,39.0,37.0,28.0,24.0,3.0,10.0,
Net Profit,2539.0,2997.0,2693.0,2388.0,1998.0,2616.0,1987.0,2346.0,2842.0,3239.0,5086.0,5811.0,6045
EPS in Rs,105.37,124.35,27.93,24.77,27.63,36.18,29.72,35.08,42.49,48.44,76.05,86.89,90.37
