,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,748.0,764.0,760.0,835.0,903.0,965.0,1013.0,1187.0,1141.0,1108.0,1508.0,1847.0,2270
Expenses,684.0,697.0,700.0,768.0,834.0,892.0,925.0,1077.0,1050.0,1009.0,1357.0,1647.0,1996
Operating Profit,64.0,67.0,61.0,67.0,68.0,73.0,88.0,110.0,91.0,98.0,151.0,201.0,274
OPM %,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,11.0,12
Other Income,6.0,4.0,4.0,25.0,7.0,10.0,22.0,21.0,26.0,17.0,11.0,15.0,21
Interest,1.0,1.0,4.0,5.0,5.0,4.0,2.0,3.0,10.0,10.0,10.0,17.0,42
Depreciation,8.0,11.0,18.0,19.0,21.0,24.0,24.0,27.0,35.0,34.0,40.0,52.0,88
Profit before tax,62.0,59.0,43.0,68.0,50.0,56.0,82.0,100.0,73.0,72.0,113.0,147.0,164
Tax %,18.0,31.0,30.0,31.0,31.0,28.0,31.0,31.0,19.0,28.0,27.0,24.0,
Net Profit,51.0,41.0,30.0,47.0,34.0,40.0,57.0,69.0,59.0,51.0,82.0,111.0,119
EPS in Rs,7.44,6.02,4.43,6.6,4.66,5.06,7.15,9.67,8.52,6.91,10.18,13.63,13.44
