,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.91,23.27,27.18,33.33,40.26,34.89,38.31,42.96,35.36,29.86
Expenses,12.65,21.07,23.86,29.09,36.31,31.05,36.18,38.44,31.15,22.93
Operating Profit,3.26,2.2,3.32,4.24,3.95,3.84,2.13,4.52,4.21,6.93
OPM %,20.49,9.45,12.21,12.72,9.81,11.01,5.56,10.52,11.91,23.21
Other Income,-0.14,0.68,1.1,0.23,0.39,0.51,1.11,0.85,1.33,0.51
Interest,0.51,0.49,0.1,0.29,0.2,0.25,0.21,0.39,0.03,0.2
Depreciation,0.58,0.51,0.52,0.5,0.43,0.48,0.68,0.62,0.63,0.62
Profit before tax,2.03,1.88,3.8,3.68,3.71,3.62,2.35,4.36,4.88,6.62
Tax %,23.65,29.79,28.42,26.09,25.34,20.72,39.15,20.87,28.89,25.08
Net Profit,1.55,1.32,2.72,2.73,2.77,2.87,1.43,3.45,3.46,4.96
EPS in Rs,3.79,3.22,6.64,6.67,6.77,7.01,3.49,8.43,8.45,12.11
