,2018-09-01,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.06,4.7,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,2.94,4.75,1.28,0.20,0.02,0.27,0.61,0.10,0.12,0.11,0.07
Operating Profit,0.12,-0.05,-0.03,-0.20,-0.02,-0.27,-0.61,-0.10,-0.12,-0.11,-0.07
OPM %,3.92,-1.06,-2.4,,,,,,,,
Other Income,0.02,0.83,0.44,0.45,0.24,0.32,0.04,0.00,0.04,0.14,0.02
Interest,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Depreciation,0.0,0.01,0.0,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,0.14,0.77,0.41,0.24,0.22,0.04,-0.57,-0.10,-0.08,0.03,-0.05
Tax %,0.0,18.18,7.32,20.83,0.00,25.00,0.00,0.00,0.00,0.00,0.00
Net Profit,0.14,0.63,0.38,0.19,0.22,0.02,-0.57,-0.11,-0.08,0.03,-0.05
EPS in Rs,0.11,0.51,0.31,0.15,0.18,0.02,-0.46,-0.09,-0.06,0.02,-0.04
