,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,157.0,167.0,159.0,162.0,182.0,183.0,201.0,236.0,222.0,66.0,144.0,295.0,298
Expenses,116.0,134.0,121.0,130.0,142.0,130.0,147.0,164.0,158.0,58.0,108.0,186.0,196
Operating Profit,41.0,33.0,38.0,33.0,40.0,53.0,54.0,72.0,64.0,8.0,36.0,109.0,102
OPM %,26.0,20.0,24.0,20.0,22.0,29.0,27.0,31.0,29.0,12.0,25.0,37.0,34
Other Income,3.0,0.0,8.0,5.0,19.0,40.0,-195.0,-4.0,16.0,5.0,1.0,245.0,245
Interest,62.0,85.0,72.0,81.0,41.0,28.0,16.0,22.0,37.0,42.0,50.0,22.0,29
Depreciation,18.0,24.0,25.0,31.0,25.0,24.0,23.0,18.0,18.0,18.0,17.0,15.0,16
Profit before tax,-36.0,-75.0,-52.0,-74.0,-7.0,41.0,-180.0,28.0,24.0,-46.0,-30.0,316.0,303
Tax %,18.0,17.0,18.0,11.0,-483.0,-1.0,-7.0,39.0,-2.0,21.0,25.0,1.0,
Net Profit,-30.0,-62.0,-42.0,-65.0,-39.0,42.0,-192.0,17.0,25.0,-36.0,-23.0,313.0,300
EPS in Rs,-15.49,-32.66,-17.93,-27.66,-16.71,17.62,-81.5,7.16,10.5,-15.39,-9.61,126.91,122.22
