,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,161.0,211.0,271.0,344.0,419.0,578.0,686.0,328.0,705.0,1212.0,1402
Expenses,154.0,198.0,252.0,319.0,377.0,525.0,614.0,334.0,649.0,1015.0,1146
Operating Profit,7.0,12.0,19.0,24.0,42.0,53.0,72.0,-6.0,56.0,197.0,256
OPM %,4.0,6.0,7.0,7.0,10.0,9.0,11.0,-2.0,8.0,16.0,18
Other Income,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,3.0,-2.0,9.0,10
Interest,6.0,3.0,3.0,4.0,3.0,4.0,10.0,6.0,5.0,8.0,10
Depreciation,1.0,3.0,4.0,5.0,6.0,8.0,22.0,20.0,20.0,33.0,44
Profit before tax,1.0,6.0,12.0,16.0,34.0,41.0,40.0,-29.0,29.0,165.0,213
Tax %,78.0,27.0,35.0,34.0,36.0,34.0,24.0,28.0,23.0,24.0,
Net Profit,0.0,4.0,8.0,10.0,22.0,27.0,31.0,-21.0,22.0,125.0,162
EPS in Rs,0.04,1.06,1.87,2.45,4.84,6.09,6.86,-4.67,4.99,26.39,34.19
