,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,396.0,416.0,518.0,867.0,660.0,683.0,649.0,702.0,735.0,733.0,741.0,917.0,952
Expenses,213.0,234.0,261.0,365.0,278.0,262.0,275.0,313.0,289.0,311.0,331.0,414.0,425
Operating Profit,182.0,182.0,257.0,502.0,382.0,421.0,374.0,389.0,447.0,422.0,411.0,503.0,527
OPM %,46.0,44.0,50.0,58.0,58.0,62.0,58.0,55.0,61.0,58.0,55.0,55.0,55
Other Income,16.0,15.0,33.0,-5.0,24.0,33.0,37.0,45.0,51.0,44.0,26.0,13.0,49
Interest,85.0,68.0,37.0,26.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,8.0,9
Depreciation,56.0,55.0,61.0,83.0,97.0,107.0,104.0,113.0,131.0,133.0,129.0,116.0,115
Profit before tax,57.0,74.0,192.0,387.0,309.0,347.0,307.0,321.0,359.0,327.0,302.0,392.0,453
Tax %,0.0,0.0,0.0,0.0,38.0,28.0,35.0,36.0,18.0,33.0,36.0,26.0,
Net Profit,57.0,74.0,192.0,387.0,191.0,250.0,198.0,206.0,292.0,218.0,193.0,292.0,337
EPS in Rs,1.35,1.53,3.97,8.01,3.95,5.17,4.11,4.25,6.05,4.52,4.0,6.04,6.97
