,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1239.0,1368.0,1119.0,1137.0,1826.0,2222.0,1916.0,2080.0,3810.0,6493.0,6267
Expenses,1127.0,1222.0,970.0,968.0,1674.0,1962.0,1650.0,1598.0,3125.0,5605.0,5332
Operating Profit,112.0,147.0,148.0,170.0,152.0,260.0,265.0,482.0,685.0,888.0,936
OPM %,9.0,11.0,13.0,15.0,8.0,12.0,14.0,23.0,18.0,14.0,15
Other Income,51.0,52.0,56.0,50.0,2.0,2.0,14.0,2.0,10.0,43.0,13
Interest,23.0,30.0,24.0,14.0,13.0,18.0,19.0,27.0,31.0,97.0,111
Depreciation,37.0,51.0,45.0,47.0,51.0,57.0,60.0,79.0,95.0,176.0,197
Profit before tax,103.0,117.0,136.0,159.0,91.0,188.0,200.0,378.0,568.0,658.0,640
Tax %,25.0,27.0,26.0,25.0,25.0,30.0,25.0,18.0,44.0,30.0,
Net Profit,78.0,86.0,100.0,119.0,68.0,132.0,151.0,311.0,316.0,460.0,411
EPS in Rs,60.08,63.5,74.46,77.66,51.1,86.6,98.77,168.71,197.95,226.94,266.53
