,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,541.0,504.0,434.0,552.0,451.0,466.0,543.0,672.0,698.0,681.0,896.0,1091.0,1170
Expenses,461.0,442.0,383.0,507.0,406.0,422.0,491.0,593.0,601.0,598.0,775.0,904.0,953
Operating Profit,80.0,62.0,51.0,45.0,45.0,44.0,52.0,79.0,97.0,83.0,121.0,187.0,217
OPM %,15.0,12.0,12.0,8.0,10.0,9.0,10.0,12.0,14.0,12.0,13.0,17.0,19
Other Income,3.0,5.0,8.0,-0.0,6.0,4.0,11.0,16.0,14.0,11.0,5.0,8.0,10
Interest,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
Depreciation,12.0,12.0,11.0,14.0,10.0,10.0,10.0,11.0,13.0,12.0,11.0,12.0,13
Profit before tax,71.0,54.0,47.0,31.0,41.0,38.0,53.0,84.0,97.0,81.0,114.0,182.0,214
Tax %,33.0,30.0,30.0,23.0,31.0,29.0,29.0,32.0,27.0,26.0,26.0,26.0,
Net Profit,47.0,38.0,33.0,24.0,28.0,27.0,37.0,58.0,71.0,59.0,84.0,136.0,159
EPS in Rs,30.82,24.54,21.52,15.36,18.41,17.45,24.13,37.41,46.39,38.52,54.77,88.14,103.26
