,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,636.0,719.0,789.0,686.0,668.0,699.0,711.0,550.0,541.0,740.0,585.0,523
Expenses,579.0,684.0,758.0,640.0,626.0,660.0,671.0,522.0,482.0,685.0,604.0,518
Operating Profit,58.0,34.0,31.0,46.0,42.0,39.0,41.0,28.0,59.0,55.0,-20.0,5
OPM %,9.0,5.0,4.0,7.0,6.0,6.0,6.0,5.0,11.0,7.0,-3.0,1
Other Income,2.0,3.0,4.0,1.0,9.0,12.0,11.0,6.0,6.0,7.0,8.0,9
Interest,24.0,26.0,22.0,34.0,37.0,38.0,33.0,45.0,41.0,41.0,40.0,42
Depreciation,13.0,13.0,9.0,14.0,16.0,17.0,16.0,28.0,29.0,29.0,27.0,28
Profit before tax,23.0,-1.0,4.0,-1.0,-2.0,-4.0,2.0,-40.0,-4.0,-9.0,-80.0,-56
Tax %,1.0,-81.0,46.0,41.0,192.0,85.0,293.0,22.0,23.0,56.0,27.0,
Net Profit,23.0,-2.0,2.0,-0.0,2.0,-1.0,-4.0,-31.0,-3.0,-4.0,-58.0,-40
EPS in Rs,157.6,-15.87,15.59,-2.15,13.86,-4.37,-19.54,-109.57,-5.89,-51.56,-265.85,-181.23
