,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1078.0,1207.0,1668.0,1953.0,2296.0,2379.0,2334
Expenses,923.0,1029.0,1398.0,1570.0,1823.0,2163.0,2176
Operating Profit,154.0,178.0,269.0,382.0,473.0,215.0,158
OPM %,14.0,15.0,16.0,20.0,21.0,9.0,7
Other Income,2.0,9.0,6.0,10.0,17.0,18.0,23
Interest,25.0,24.0,21.0,13.0,16.0,24.0,24
Depreciation,10.0,11.0,15.0,18.0,18.0,20.0,22
Profit before tax,121.0,152.0,239.0,362.0,456.0,189.0,134
Tax %,36.0,35.0,26.0,26.0,26.0,27.0,
Net Profit,78.0,99.0,177.0,269.0,338.0,137.0,97
EPS in Rs,30.84,39.12,70.35,107.47,112.95,47.23,34.27
