,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1265.0,1356.0,1766.0,1962.0,2343.0,2281.0,511.0,154.0,213.0,203.0,164.0,159.0,148
Expenses,1094.0,1209.0,1574.0,1718.0,2079.0,2259.0,454.0,224.0,267.0,99.0,133.0,102.0,248
Operating Profit,171.0,146.0,192.0,243.0,263.0,22.0,57.0,-70.0,-54.0,104.0,32.0,58.0,-100
OPM %,14.0,11.0,11.0,12.0,11.0,1.0,11.0,-46.0,-25.0,51.0,19.0,36.0,-67
Other Income,2.0,1.0,4.0,3.0,19.0,38.0,230.0,-197.0,387.0,129.0,96.0,142.0,165
Interest,56.0,60.0,80.0,107.0,138.0,159.0,252.0,19.0,67.0,162.0,116.0,178.0,31
Depreciation,11.0,11.0,14.0,20.0,33.0,27.0,23.0,20.0,55.0,96.0,67.0,72.0,72
Profit before tax,106.0,76.0,103.0,119.0,112.0,-126.0,12.0,-306.0,212.0,-25.0,-55.0,-51.0,-37
Tax %,31.0,26.0,25.0,31.0,22.0,49.0,-58.0,14.0,-25.0,357.0,100.0,0.0,
Net Profit,72.0,57.0,77.0,82.0,87.0,-64.0,19.0,-264.0,265.0,63.0,0.0,-51.0,-35
EPS in Rs,20.71,16.19,22.0,19.66,20.95,-15.48,5.47,-25.19,25.32,6.05,0.01,-4.82,-3.32
