,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31226.0,29197.0,50463.0,165179.0,242132.0,187686.0,175763.0,195600.0,258306.0,243128.0,339690.0,333677
Expenses,30437.0,28414.0,49196.0,163452.0,240382.0,185802.0,173967.0,194051.0,257182.0,241949.0,338054.0,332461
Operating Profit,789.0,783.0,1266.0,1727.0,1750.0,1884.0,1796.0,1549.0,1124.0,1179.0,1636.0,1216
OPM %,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
Other Income,3.0,1.0,0.0,42.0,48.0,62.0,66.0,7.0,3.0,40.0,24.0,48
Interest,300.0,363.0,478.0,578.0,430.0,537.0,442.0,222.0,142.0,90.0,81.0,0
Depreciation,2.0,16.0,62.0,79.0,65.0,68.0,74.0,73.0,90.0,91.0,101.0,96
Profit before tax,490.0,404.0,726.0,1112.0,1303.0,1342.0,1346.0,1261.0,894.0,1038.0,1478.0,1168
Tax %,8.0,11.0,10.0,4.0,5.0,6.0,4.0,4.0,5.0,3.0,3.0,
Net Profit,453.0,357.0,655.0,1069.0,1244.0,1266.0,1292.0,1206.0,845.0,1009.0,1432.0,1142
EPS in Rs,15.33,12.11,22.18,36.21,42.12,42.87,43.76,40.84,28.61,34.18,48.51,38.69
