,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,153.23,108.2,116.21,147.16,78.79,88.26,81.36,79.53,68.77,51.32,74.95,63.97,68.63
Expenses,131.15,102.95,106.16,137.41,79.33,84.74,84.54,76.63,76.0,50.76,70.31,74.08,73.79
Operating Profit,22.08,5.25,10.05,9.75,-0.54,3.52,-3.18,2.9,-7.23,0.56,4.64,-10.11,-5.16
OPM %,14.41,4.85,8.65,6.63,-0.69,3.99,-3.91,3.65,-10.51,1.09,6.19,-15.8,-7.52
Other Income,0.37,0.64,-4.55,4.74,1.14,0.86,0.95,2.03,1.74,0.46,0.87,0.32,0.83
Interest,5.75,4.97,4.54,2.61,0.78,0.65,1.22,1.28,1.14,1.56,2.03,1.73,1.84
Depreciation,8.0,8.33,9.85,7.61,4.67,4.69,4.08,3.17,2.57,2.44,2.64,2.53,2.51
Profit before tax,8.7,-7.41,-8.89,4.27,-4.85,-0.96,-7.53,0.48,-9.2,-2.98,0.84,-14.05,-8.68
Tax %,35.86,-1.35,62.54,-6.32,18.56,-62.5,30.41,141.67,-45.65,1.01,-19.05,-0.0,
Net Profit,5.58,-7.51,-3.33,4.55,-3.95,-1.56,-5.24,-0.09,-13.47,-2.98,1.0,-14.0,-8.51
EPS in Rs,11.0,-14.81,-6.57,8.97,-7.79,-3.08,-10.33,-0.18,-26.56,-5.88,1.97,-27.6,-16.79
