,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,10,10,10,10,10,10,10.0
Reserves,44,34,42,51,52,50,51,63,49.0
Preference Capital,0,0,0,0,0,17,17,17,
Borrowings,0,9,26,100,115,129,163,138,5.0
Other Liabilities,34,16,29,33,31,29,34,40,2.0
Total Liabilities,78,59,107,193,208,218,259,252,67.0
Fixed Assets,27,12,12,12,12,9,9,15,7.0
CWIP,0,0,0,0,2,4,7,8,9.0
Investments,2,2,1,1,1,1,2,2,20.0
Other Assets,49,45,94,180,193,204,241,226,32.0
Total Assets,78,59,107,193,208,218,259,252,67.0
