,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,TTM
Sales,1153.0,1324.0,1428.0,1491.0,1567.0,1825.0,2033.0,2192.0,1762.0,1471.0,2112.0,3136.0,2760
Expenses,925.0,1120.0,1167.0,1214.0,1337.0,1539.0,1705.0,1866.0,1347.0,1096.0,1564.0,2371.0,2068
Operating Profit,228.0,205.0,261.0,277.0,230.0,287.0,328.0,326.0,415.0,375.0,548.0,764.0,691
OPM %,20.0,15.0,18.0,19.0,15.0,16.0,16.0,15.0,24.0,25.0,26.0,24.0,25
Other Income,18.0,74.0,59.0,11.0,22.0,34.0,11.0,23.0,862.0,44.0,348.0,109.0,86
Interest,1.0,40.0,74.0,103.0,90.0,116.0,116.0,103.0,86.0,6.0,3.0,6.0,5
Depreciation,71.0,113.0,129.0,181.0,162.0,195.0,206.0,199.0,177.0,176.0,181.0,253.0,213
Profit before tax,175.0,126.0,117.0,4.0,1.0,10.0,16.0,47.0,1013.0,236.0,711.0,614.0,560
Tax %,30.0,29.0,34.0,-51.0,-4164.0,-31.0,-17.0,29.0,28.0,34.0,28.0,13.0,
Net Profit,122.0,89.0,77.0,5.0,23.0,13.0,19.0,33.0,727.0,156.0,514.0,536.0,417
EPS in Rs,14.27,10.49,9.07,0.63,2.75,1.57,2.22,3.93,85.27,18.24,60.26,62.82,48.87
