,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,465.0,596.0,648.0,605.0,588.0,593.0,700.0,809.0,809.0,881.0,1156.0,1516.0,1668
Expenses,430.0,518.0,558.0,533.0,518.0,560.0,643.0,736.0,736.0,764.0,995.0,1316.0,1421
Operating Profit,35.0,78.0,91.0,73.0,71.0,33.0,57.0,73.0,73.0,116.0,161.0,200.0,247
OPM %,7.0,13.0,14.0,12.0,12.0,6.0,8.0,9.0,9.0,13.0,14.0,13.0,15
Other Income,5.0,4.0,34.0,70.0,17.0,16.0,19.0,15.0,15.0,11.0,42.0,10.0,12
Interest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,6.0,5.0,5.0,8
Depreciation,10.0,10.0,11.0,14.0,12.0,13.0,14.0,15.0,15.0,26.0,28.0,35.0,47
Profit before tax,29.0,72.0,112.0,128.0,76.0,35.0,63.0,72.0,72.0,96.0,170.0,170.0,204
Tax %,36.0,27.0,30.0,23.0,29.0,36.0,19.0,19.0,19.0,15.0,17.0,18.0,
Net Profit,18.0,53.0,78.0,98.0,54.0,23.0,51.0,58.0,58.0,82.0,141.0,140.0,136
EPS in Rs,1.47,4.16,6.13,7.71,4.33,1.82,4.12,4.83,4.86,6.84,11.96,11.81,11.47
