,Mar 2012,Mar 2013,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,18.0,25.0,53.0,62.0,60.0,87.0,110.0,112.0,114
Expenses,0.0,17.0,21.0,44.0,50.0,47.0,70.0,89.0,92.0,92
Operating Profit,0.0,1.0,3.0,9.0,11.0,14.0,17.0,21.0,19.0,22
OPM %,,6.0,13.0,17.0,18.0,23.0,19.0,19.0,17.0,20
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4
Depreciation,0.0,0.0,1.0,2.0,2.0,5.0,5.0,6.0,5.0,6
Profit before tax,0.0,1.0,1.0,5.0,7.0,6.0,9.0,14.0,11.0,13
Tax %,,30.0,30.0,30.0,29.0,29.0,26.0,25.0,26.0,
Net Profit,0.0,1.0,1.0,3.0,5.0,4.0,7.0,10.0,8.0,10
EPS in Rs,0.0,0.12,0.14,0.67,0.62,0.48,0.8,1.24,1.01,1.20
