,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,60.0,73.0,77.0,95.0,157.0,189.0,210.0,193.0,194.0,151.0,233.0,236.0,210
Expenses,54.0,64.0,64.0,79.0,124.0,153.0,168.0,153.0,158.0,135.0,196.0,210.0,199
Operating Profit,6.0,9.0,13.0,16.0,33.0,35.0,42.0,40.0,36.0,16.0,37.0,26.0,11
OPM %,10.0,13.0,17.0,17.0,21.0,19.0,20.0,21.0,19.0,11.0,16.0,11.0,5
Other Income,3.0,3.0,3.0,3.0,4.0,4.0,4.0,20.0,5.0,6.0,7.0,12.0,4
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,1.0,2.0,2.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,6
Profit before tax,7.0,11.0,15.0,17.0,31.0,34.0,39.0,54.0,37.0,17.0,39.0,32.0,9
Tax %,31.0,31.0,30.0,33.0,34.0,34.0,35.0,29.0,25.0,22.0,24.0,24.0,
Net Profit,5.0,7.0,11.0,11.0,21.0,22.0,26.0,39.0,28.0,13.0,30.0,25.0,7
EPS in Rs,22.7,35.44,50.67,53.16,98.37,107.23,123.04,185.44,133.81,64.46,141.95,118.63,32.08
