,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,3,3,3,3,3,3,3,3,3,3.0
Reserves,15,16,18,19,20,21,23,26,31,36,50,58,58.0
Preference Capital,8,8,8,8,8,0,8,8,0,0,0,0,
Borrowings,33,31,34,32,39,54,44,35,40,40,49,45,43.0
Other Liabilities,17,21,20,22,27,21,29,32,23,24,28,30,30.0
Total Liabilities,67,70,74,75,89,99,99,97,97,103,130,136,134.0
Fixed Assets,47,44,43,48,51,60,60,58,64,62,81,88,85.0
CWIP,0,2,3,0,2,0,0,0,0,1,1,0,0.0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other Assets,21,23,28,27,36,38,39,38,33,40,48,48,49.0
Total Assets,67,70,74,75,89,99,99,97,97,103,130,136,134.0
