,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,734.0,683.0,923.0,1013.0,527.0,560.0,817.0,1033.0,1071.0,1722.0,2184.0,2563.0,2859
Expenses,710.0,626.0,833.0,965.0,509.0,515.0,718.0,902.0,916.0,1357.0,1721.0,2108.0,2369
Operating Profit,24.0,57.0,90.0,47.0,18.0,45.0,100.0,132.0,156.0,364.0,463.0,456.0,489
OPM %,3.0,8.0,10.0,5.0,3.0,8.0,12.0,13.0,15.0,21.0,21.0,18.0,17
Other Income,12.0,9.0,11.0,14.0,15.0,12.0,21.0,25.0,17.0,28.0,36.0,64.0,9
Interest,1.0,0.0,1.0,1.0,0.0,4.0,6.0,6.0,4.0,8.0,8.0,25.0,39
Depreciation,29.0,22.0,33.0,37.0,16.0,15.0,19.0,17.0,25.0,45.0,43.0,67.0,80
Profit before tax,5.0,44.0,68.0,22.0,16.0,39.0,96.0,133.0,144.0,339.0,448.0,427.0,379
Tax %,91.0,22.0,24.0,20.0,17.0,17.0,27.0,24.0,21.0,26.0,26.0,27.0,
Net Profit,0.0,34.0,52.0,18.0,14.0,32.0,70.0,101.0,114.0,252.0,333.0,310.0,279
EPS in Rs,0.19,13.93,23.37,7.86,5.97,13.86,29.53,42.33,44.82,82.97,98.32,95.99,88.51
