,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,279.0,287.0,320.0,384.0,385.0,407.0,465.0,474.0,267.0,235.0,451.0,663.0,665
Expenses,260.0,265.0,299.0,346.0,346.0,373.0,423.0,450.0,270.0,235.0,413.0,617.0,621
Operating Profit,20.0,22.0,21.0,38.0,40.0,34.0,42.0,25.0,-4.0,0.0,38.0,46.0,43
OPM %,7.0,8.0,7.0,10.0,10.0,8.0,9.0,5.0,-1.0,0.0,8.0,7.0,6
Other Income,-5.0,6.0,6.0,0.0,-12.0,0.0,6.0,15.0,32.0,1.0,2.0,8.0,13
Interest,5.0,6.0,9.0,8.0,5.0,5.0,5.0,5.0,5.0,13.0,3.0,16.0,18
Depreciation,15.0,16.0,18.0,28.0,26.0,22.0,23.0,21.0,18.0,22.0,19.0,28.0,37
Profit before tax,-5.0,6.0,1.0,2.0,-3.0,7.0,19.0,14.0,5.0,-33.0,17.0,10.0,1
Tax %,-2.0,24.0,20.0,-21.0,-91.0,63.0,44.0,7.0,47.0,4.0,7.0,61.0,
Net Profit,-5.0,4.0,1.0,2.0,-5.0,3.0,11.0,13.0,3.0,-31.0,16.0,4.0,-5
EPS in Rs,-4.36,3.41,0.42,1.7,-3.87,1.84,6.99,7.85,1.6,-17.45,9.06,2.06,-2.53
