,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,116.0,133.0,115.0,219.0,140.0,293.0,116.0,3.0,0,53.0,7.0,24.0,2
Expenses,75.0,92.0,98.0,188.0,127.0,278.0,112.0,4.0,0,1.0,2.0,23.0,18
Operating Profit,41.0,40.0,17.0,30.0,14.0,15.0,4.0,-1.0,-0,52.0,5.0,0.0,-16
OPM %,36.0,30.0,15.0,14.0,10.0,5.0,3.0,-38.0,,98.0,72.0,1.0,-1037
Other Income,0.0,-0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,-12.0,0
Interest,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Depreciation,7.0,7.0,9.0,14.0,14.0,14.0,12.0,12.0,5,0.0,0.0,0.0,0
Profit before tax,33.0,31.0,6.0,15.0,1.0,1.0,-8.0,-13.0,-6,52.0,5.0,-11.0,-16
Tax %,34.0,34.0,20.0,39.0,22.0,38.0,-18.0,-9.0,81,14.0,22.0,0.0,
Net Profit,22.0,21.0,5.0,9.0,1.0,0.0,-9.0,-14.0,-1,44.0,4.0,-11.0,-15
EPS in Rs,1.2,1.13,0.28,0.5,0.04,0.02,-0.5,-0.76,-0.06,0.87,0.08,-0.22,-0.29
