,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,287.0,331.0,347.0,307.0,332.0,369.0,432.0,387.0,384.0,444.0,536.0,478
Expenses,231.0,261.0,277.0,228.0,245.0,266.0,304.0,282.0,257.0,356.0,425.0,366
Operating Profit,57.0,70.0,69.0,79.0,86.0,103.0,128.0,105.0,126.0,88.0,110.0,112
OPM %,20.0,21.0,20.0,26.0,26.0,28.0,30.0,27.0,33.0,20.0,21.0,24
Other Income,9.0,7.0,12.0,4.0,6.0,4.0,6.0,9.0,3.0,8.0,2.0,3
Interest,15.0,14.0,10.0,8.0,7.0,9.0,9.0,10.0,7.0,8.0,13.0,12
Depreciation,12.0,13.0,16.0,17.0,17.0,18.0,20.0,21.0,22.0,24.0,29.0,30
Profit before tax,38.0,50.0,55.0,59.0,69.0,80.0,106.0,83.0,100.0,63.0,70.0,73
Tax %,26.0,19.0,18.0,22.0,30.0,29.0,28.0,9.0,17.0,27.0,24.0,
Net Profit,28.0,41.0,45.0,46.0,48.0,57.0,77.0,75.0,83.0,46.0,54.0,54
EPS in Rs,26.84,39.33,46.9,48.1,49.76,55.19,75.2,73.21,79.08,43.11,48.69,49.54
