,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,201.0,218.0,229.0,247.0,270.0,158.0,177.0,144.0,163.0,254.0,277.0,344
Expenses,15.0,16.0,17.0,19.0,32.0,19.0,30.0,42.0,20.0,25.0,32.0,33
Operating Profit,186.0,202.0,213.0,229.0,237.0,139.0,147.0,102.0,144.0,229.0,246.0,311
OPM %,93.0,93.0,93.0,92.0,88.0,88.0,83.0,71.0,88.0,90.0,88.0,90
Other Income,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,25.0,18.0,36.0,46
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Profit before tax,186.0,204.0,213.0,229.0,237.0,147.0,147.0,101.0,167.0,246.0,272.0,338
Tax %,13.0,14.0,14.0,14.0,16.0,11.0,9.0,11.0,8.0,13.0,8.0,
Net Profit,174.0,186.0,186.0,194.0,200.0,131.0,134.0,90.0,155.0,214.0,252.0,326
EPS in Rs,31.55,33.81,33.73,35.28,36.37,23.79,26.44,17.89,30.43,42.34,49.78,64.45
